"target","variable.units","variable.element","variable.context","taxon.group","ecological.group","alias","match"
"Abies","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Acer negundo","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Acer saccharum","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Alnus","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Amaranthaceae undiff.","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Ambrosia","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Arceuthobium","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Artemisia","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Asteraceae subf. Asteroideae undiff.","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Betula","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Brassicaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Carya","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Corylus","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Cupressaceae","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Cyclachaena xanthiifolia","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Cyperaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Dalea candida-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Equisetum","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Fraxinus americana-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Indeterminable","NISP","pollen/spore",NA,"Unidentified","UNID",NA,NA
"Myriophyllum","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Ostrya/Carpinus","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Picea","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Pinus","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Poaceae undiff.","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Populus","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Potamogetonaceae","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Quercus","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Rumex","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Salix","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Sample quantity","ml","volume examined",NA,"Laboratory analyses","LABO",NA,NA
"Sparganium-type","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Thalictrum","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Tilia","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Typha latifolia","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Ulmus","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Unknown","NISP","pollen/spore",NA,"Unidentified","UNID",NA,NA
"Vitis","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Apiaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Fraxinus nigra","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Iva annua","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Juglans cinerea","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Juglans nigra","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Platanus","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Zea mays","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Ephedra nevadensis-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Morus","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Plantago","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Sarcobatus vermiculatus","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Celtis","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Dryopteris-type","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Pteridium","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Amorpha","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Dalea purpurea","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Myrica","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Tsuga","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Xanthium","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Asteraceae subf. Cichorioideae","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Humulus","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Castanea","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Larix","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Lemna","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Rosaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Ephedra torreyana-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Sphagnum","NISP","spore",NA,"Bryophytes","AQBR",NA,NA
"Sagittaria","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Persicaria maculosa-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Alnus incana","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Alnus viridis","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Fabaceae undiff.","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Fraxinus undiff.","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Pediastrum","NISP","colony",NA,"Algae","ALGA",NA,NA
"Poaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Rosaceae undiff.","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Acer undiff.","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Caryophyllaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Fraxinus nigra-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Juniperus/Thuja","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Polygonaceae undiff.","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Dalea","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Populus balsamifera","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Ericaceae","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Sanguisorba canadensis","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Botrychium","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Galium","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Fraxinus pennsylvanica","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Urtica-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Euphorbia","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Ephedra","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Saxifragaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Shepherdia","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Fagus","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Polypodium","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Nyssa","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Potentilla","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Menyanthes trifoliata","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Ambrosia-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Pteridium-type","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Nuphar","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Lycopodium-type","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Asteraceae undiff.","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Ranunculus","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Epilobium","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Shepherdia canadensis","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Liliaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Selaginella","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Polygonum sensu lato","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Urtica","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Abies balsamea","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Acer saccharinum-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Celtis occidentalis","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Chenopodium-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Fraxinus pennsylvanica-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Iva annua-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Juglans cf. J. cinerea","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Juglans cf. J. nigra","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Laportea-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Myriophyllum sibiricum-type","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Nymphaea","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Populus tremuloides-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Pteridium aquilinum","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Rhus/Toxicodendron cf. T. vernix","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Tilia americana","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Utricularia","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Humulus lupulus","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Larix laricina","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Potamogeton","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Athyrium filix-femina","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"cf. Gymnocarpium","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Chamaesyce","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Cornus","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Lycopus-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Rugubivesiculites","NISP","pollen","anachronic","Vascular plants","TRSH",NA,NA
"Rumex cf. R. salicifolius","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Thelypteris palustris","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Diphasiastrum complanatum-type","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Cingutriletes interruptus","NISP","spore","anachronic","Vascular plants","ANAC",NA,NA
"Taxus canadensis","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Aquilapollenites","NISP","pollen","anachronic","Vascular plants","ANAC",NA,NA
"Dinoflagellata","NISP","cyst","anachronic","Dinoflagellates","DINO",NA,NA
"Morus rubra","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Scutellaria cf. S. galericulata","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Scheuchzeria palustris","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Boraginaceae cf. Mertensia paniculata","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Isoëtes","NISP","spore",NA,"Vascular plants","AQVP",NA,NA
"Cyclachaena xanthiifolia-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Psilatriletes vulgaris","NISP","spore","anachronic","Vascular plants","ANAC",NA,NA
"Ranunculus-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Retitetradites monocolpatus","NISP","pollen","anachronic","Vascular plants","ANAC",NA,NA
"cf. Punctatisporites punctus","NISP","spore","anachronic","Vascular plants","ANAC",NA,NA
"Psilatriletes excelsus","NISP","spore","anachronic","Vascular plants","ANAC",NA,NA
"Punctatriletes parvimundus","NISP","spore","anachronic","Vascular plants","SEED",NA,NA
"Striatriletes","NISP","spore","anachronic","Vascular plants","VACR",NA,NA
"Stuckenia","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Unknown undiff.","NISP","pollen/spore","anachronic","Unidentified","UNID",NA,NA
"Psilatriletes vitreus","NISP","spore","anachronic","Vascular plants","ANAC",NA,NA
"cf. Clavabivesiculites pannosus","NISP","pollen","anachronic","Vascular plants","ANAC",NA,NA
"cf. Rugulatisporites quintus","NISP","spore","anachronic","Vascular plants","VACR",NA,NA
"cf. Verrumonocolpites conspicuus","NISP","pollen","anachronic","Vascular plants","SEED",NA,NA
"Osmundastrum cinnamomeum","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Retitricolpites prolatus","NISP","pollen","anachronic","Vascular plants","ANAC",NA,NA
"Botrychium lunaria","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Adiantum","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Botrychium cf. B. multifidum","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Calla palustris","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"cf. Foveoinaperturites scaphoformis","NISP","palynomorph","anachronic","Vascular plants","ANAC",NA,NA
